RN,State,County,landarea,totpop,physician,enroll,percpub,civlabor,unemp,farmpop,numfarm,farmacre,fedgrant,fedciv,milit,veterans,percviet
1593,MO,St. Louis City,62,383733,4189,63566,77.4,189604,17123,0,0,0,6022.5,23219,4112,41310,26.5
1640,MT,Silver Bow,718,34128,67,5587,89.8,13603,1217,195,114,115350,178.6,344,222,4706,27
1751,NV,Lander,5494,6691,1,1377,98.8,2852,148,108,64,-99,10.6,91,14,663,36.2
1818,NM,San Miguel,4717,26486,27,5236,95.5,9449,996,294,634,1949191,108.9,182,102,2626,28.8
1854,NY,Montgomery,405,52065,66,8792,93.4,26597,2324,1488,616,156368,201,118,119,6491,22.6
1904,NC,Caswell,426,20698,7,3737,95.2,9849,622,1617,707,130334,54.8,58,74,1856,29.7
1956,NC,Pamlico,337,11676,6,1938,99.5,4775,249,178,86,38270,47.9,34,56,1681,28.1
1973,NC,Surry,537,62972,50,9691,97.5,33281,2089,2162,1314,133218,178.6,186,208,5878,27.8
1988,ND,Adams,988,3007,13,576,100,1579,37,733,410,626589,18.3,30,21,346,24.9
1992,ND,Bottineau,1669,7604,4,1479,99.5,2973,132,1091,929,1001689,46.5,87,56,799,30.8
2025,ND,Renville,875,2944,3,624,100,1174,57,664,454,504536,20.1,30,22,353,28.9
2031,ND,Slope,1218,897,0,199,84.9,436,33,613,299,808789,11.1,10,0,87,26.4
2057,OH,Crawford,402,47660,39,9004,91.3,21043,2295,2410,877,222057,143,101,124,5493,26.1
2062,OH,Erie,255,77512,107,13743,88.3,41733,2943,1117,480,90106,245.1,202,206,10085,25.6
2063,OH,Fairfield,506,109318,86,19337,93.3,53117,3336,3058,1217,214316,245.3,234,265,13157,35.1
2099,OH,Morrow,406,28577,6,5894,96.4,11270,942,2438,864,165764,57.8,67,71,3097,32
2125,OH,Wayne,555,103908,84,18642,90.2,51670,3070,5848,1734,263457,232.1,258,270,9735,30.5
2142,OK,Cleveland,536,181388,217,31525,94.9,84742,4036,960,894,149021,615.8,665,1365,20129,43.4
2211,OR,Coos,1601,61894,98,10523,96.2,27233,2472,1297,736,163167,250.4,503,510,9660,27.8
2225,OR,Lane,4554,290866,497,44968,94.5,147872,9580,4514,2039,276559,914.4,2647,1085,36661,32.1
2234,OR,Tillamook,1102,22307,23,3515,95.3,9464,593,980,360,39913,89.9,184,122,3691,25
2324,SC,Cherokee,393,45602,34,8225,97.6,23075,1601,530,412,70468,108.8,108,358,4441,32.9
2333,SC,Fairfield,687,22412,10,4670,94,9997,1179,671,186,57293,67.5,66,190,2212,24.1
2380,SD,Douglas,434,3651,4,758,82.1,1587,36,1397,478,254299,12.9,32,24,355,25.9
2398,SD,Lake,563,10585,6,1963,95.3,5086,219,1424,606,293880,40.1,69,63,1115,21.8
2454,TN,Grainger,280,17766,4,2908,99,7503,674,1591,1219,108212,54,43,74,1456,25.6
2484,TN,Marshall,375,22974,18,3842,98.6,10689,896,1283,1013,173473,70.5,57,91,2215,34.6
2505,TN,Trousdale,114,5949,3,1010,97.3,3723,309,752,439,58550,18.6,20,26,477,28.1
2547,TX,Burnet,995,23080,17,3853,96.6,9435,495,1119,889,509782,92.5,50,89,3330,26.2
2548,TX,Caldwell,546,26819,12,5485,97.5,10343,589,964,1026,265788,77.6,59,104,2478,32.4
2554,TX,Cass,938,29981,14,5916,99,16355,1377,777,885,190634,113.2,68,107,3596,28.2
2592,TX,Erath,1086,28426,22,4486,99,13954,602,2361,1599,562030,88.7,123,93,2739,25.8
2610,TX,Gray,928,23436,30,4515,95.5,11812,577,185,323,504506,86.9,73,84,2744,23
2614,TX,Guadalupe,711,66613,47,12724,95.2,29528,1283,1898,1770,331240,188.8,169,220,8179,45.7
2662,TX,La Salle,1489,5431,2,1289,94.3,2147,171,150,265,766840,25.3,37,17,322,25.8
2682,TX,Maverick,1280,40647,24,10240,97.4,14350,4144,232,202,672382,119,256,145,1432,34.6
2752,TX,Uvaide,1557,24192,16,5399,96.5,13880,1297,593,575,850230,80.9,96,87,1859,28.7
2763,TX,Wichita,628,120386,243,21081,94.9,54569,3709,581,544,298490,672.5,2532,7004,15181,37.1
2840,VA,Craig,330,4496,1,702,96.3,2015,158,178,177,50308,12,37,25,586,25.9
2847,VA,Fauquier,650,50686,48,8502,90.9,27490,1399,2267,978,240638,193.5,1310,1057,6199,38.7
2899,VA,Shenandoah,512,32282,23,4553,94.8,18773,1158,1270,830,138883,100.6,151,174,4068,26.6
2902,VA,Spotsylvania,401,61435,144,11409,95.9,23662,2073,840,305,57337,65.7,283,387,7352,43.7
2903,VA,Stafford,270,70900,7,11918,96.3,32895,1758,255,197,27849,113.6,79,352,8266,46.9
2925,VA,Falls Church City,2,9324,0,1285,87.4,6943,248,0,0,0,709.2,0,0,1251,34.4
2990,WA,Whatcom,2120,137913,203,21174,89.7,69513,4374,3596,1463,124675,620,763,652,15256,35
3009,WV,Jackson,466,26108,15,4880,97.3,9966,1213,587,679,103906,78.9,91,84,3305,23
3044,WV,Wirt,233,5298,0,900,99.8,2152,417,266,221,36627,33.5,21,18,653,29.1
3071,WI,Green Lake,354,18822,16,3402,86.3,8231,651,1658,711,161827,63.8,66,127,2021,26.6
3095,WI,Pierce,577,33442,22,5719,93,16854,842,3449,1240,269644,85.4,120,236,3012,32.5
3107,WI,Sheboygan,514,105039,114,18908,85.8,58258,3259,3003,1213,209508,278.4,253,708,11672,26.9
3132,WY,Natrona,5340,62565,130,11769,97.9,31200,1782,500,304,2633700,229.5,699,284,7518,32.5
3142,WY,Weston,2398,6600,3,1387,96.9,3221,183,405,235,1546633,41.6,80,32,828,30.6
